Descripcion,IdCategoria
 Dry Cleaning & Laundry,328
Pets,329
 Hot Dogs,330
 Mexican,331
Churches,332
Child Care & Day Care,333
 Preschools,334
 Community Service/Non-Profit,335
 Family Practice,336
 Counseling & Mental Health,337
 Countertop Installation,338
 Cabinetry,339
 Kitchen & Bath,340
Day Spas,341
 Candy Stores,342
 Chocolatiers & Shops,343
 Hair Loss Centers,344
 Barbers,345
 Pressure Washers,346
 Urgent Care,347
 Walk-in Clinics,348
 Empanadas,349
 Ethnic Food,350
 Hardware Stores,351
 Building Supplies,352
 Nurseries & Gardening,353
American (New),354
 Middle Eastern,355
 Wholesale Stores,356
 Brewing Supplies,357
 Wineries,358
Coffee & Tea,359
 Wholesalers,360
 Tacos,361
 Escape Games,362
Community Service/Non-Profit,363
 Bike Rentals,364
 Vape Shops,365
 Head Shops,366
 Tobacco Shops,367
Puerto Rican,368
 Latin American,369
Auto Parts & Supplies,370
 Pet Training,371
 Pet Services,372
 Pet Stores,373
 Art Galleries,374
 Cosmetics & Beauty Supply,375
Windows Installation,376
 Door Sales/Installation,377
 Shutters,378
 Siding,379
Festivals,380
 Local Flavor,381
 Food Stands,382
 Parasailing,383
 Beaches,384
 Boating,385
 Health Markets,386
 Vitamins & Supplements,387
Carpenters,388
 Wallpapering,389
 Painters,390
 Whiskey Bars,391
 Diners,392
Plumbing,393
 Electronics Repair,394
 IT Services & Computer Repair,395
 Mobile Phone Repair,396
 Mobile Phone Accessories,397
 Mobile Phones,398
 Wildlife Control,399
 Gutter Services,400
 Insulation Installation,401
Home Decor,402
 Kids Activities,403
 Party & Event Planning,404
Appliances & Repair,405
 Shoe Repair,406
Building Supplies,407
Hospitals,408
 Security Systems,409
 Security Services,410
 Personal Shopping,411
Hair Salons,412
 Men's Hair Salons,413
 Eyelash Service,414
Self Storage,415
 Towing,416
 Used Car Dealers,417
 Roadside Assistance,418
 Car Dealers,419
Mobile Phones,420
Preschools,421
 Elementary Schools,422
 Auto Parts & Supplies,423
 Cannabis Collective,424
 Cannabis Clinics,425
 Cannabis Dispensaries,426
Home Window Tinting,427
 Car Window Tinting,428
 Vehicle Wraps,429
Indian,430
Veterinarians,431
 Pet Photography,432
 Bespoke Clothing,433
 Dry Cleaning,434
Bagels,435
 Vegetarian,436
 Permanent Makeup,437
 Cryotherapy,438
 Challenge Courses,439
 Props,440
 Self Storage,441
Dry Cleaning & Laundry,442
 Vietnamese,443
Shoe Stores,444
 Formal Wear,445
 Farmers Market,446
 Spanish,447
 Festivals,448
 Pediatric Dentists,449
Nutritionists,450
 Cheesesteaks,451
Contractors,452
 Garage Door Services,453
Pretzels,454
 Shopping Centers,455
Chicken Wings,456
 Florists,457
 Flowers & Gifts,458
Apartments,459
 University Housing,460
 Property Management,461
Movers,462
 Furniture Assembly,463
 Pool & Billiards,464
 Furniture Repair,465
Recreation Centers,466
 Virtual Reality Centers,467
Delis,468
Cosmetic Dentists,469
 Endodontists,470
 Orthodontists,471
Amusement Parks,472
 Arcades,473
 Laser Tag,474
Breakfast & Brunch,475
Florists,476
Southern,477
Hotels & Travel,478
 Race Tracks,479
 Mini Golf,480
 Go Karts,481
 Recreation Centers,482
 Community Centers,483
 Day Camps,484
 Public Services & Government,485
 Summer Camps,486
 Beer Tours,487
Awnings,488
 Patio Coverings,489
Urgent Care,490
 Indian,491
Signmaking,492
Ice Cream & Frozen Yogurt,493
Vegan,494
 Tea Rooms,495
Kebab,496
 Lebanese,497
 Greek,498
 Mattresses,499
 Day Spas,500
 Real Estate Services,501
Gelato,502
 Gift Shops,503
Garage Door Services,504
Asian Fusion,505
